rxlr_five,rxlr_three,family
8940,25793,rxlr
2256,8170,rxlr
4630,37451,rxlr
348,1054,rxlr
516,313,rxlr
28136,9640,rxlr
37876,937,rxlr
65578,3450,rxlr
32486,1428,rxlr
15329,1990,rxlr
15329,1712,rxlr
2144,2587,rxlr
5858,26745,rxlr
14179,24024,rxlr
2997,3246,rxlr
71230,274,rxlr
19803,123,rxlr
20869,54273,rxlr
13694,125,rxlr
24227,1641,rxlr
8030,21116,rxlr
864,374,rxlr
64779,644,rxlr
8367,643,rxlr
8367,78955,rxlr
78955,658,rxlr
7468,1659,rxlr
761,20732,rxlr
488,8898,rxlr
2605,17204,rxlr
815,18715,rxlr
815,34777,rxlr
57503,55138,rxlr
1867,57503,rxlr
12517,22346,rxlr
3493,11080,rxlr
65615,1051,rxlr
20662,49540,rxlr
5955,1086,rxlr
32936,34467,rxlr
8365,21734,rxlr
8365,28815,rxlr
26818,28815,rxlr
1320,26818,rxlr
20244,56279,rxlr
15221,20614,rxlr
72277,33184,rxlr
30028,72277,rxlr
13236,127,rxlr
4549,969,rxlr
67189,1598,rxlr
43552,13152,rxlr
994,15252,rxlr
994,9563,rxlr
1230,5140,rxlr
9797,40607,rxlr
11153,7599,rxlr
10353,4517,rxlr
9919,20859,rxlr
12436,595,rxlr
12436,3134,rxlr
1406,2659,rxlr
17912,1584,rxlr
6520,1584,rxlr
10919,1593,rxlr
1859,10919,rxlr
1859,1874,rxlr
14857,11544,rxlr
7058,383,rxlr
13611,18655,rxlr
17366,24253,rxlr
2043,2054,rxlr
33413,1260,rxlr
3252,89394,rxlr
3252,1213,rxlr
5318,6031,rxlr
11227,31506,rxlr
108926,50443,rxlr
13638,12158,rxlr
25311,663,rxlr
1154,25311,rxlr
688,377,rxlr
8135,3681,rxlr
20373,23098,rxlr
30160,1471,rxlr
1776,1471,rxlr
1776,29557,rxlr
67533,37754,rxlr
17712,40816,rxlr
5441,18467,rxlr
2710,5441,rxlr
2710,41001,rxlr
1904,35795,rxlr
44707,21879,rxlr
2762,48156,rxlr
2473,26605,rxlr
2164,10075,rxlr
2164,11900,rxlr
112118,51393,rxlr
112118,1324,rxlr
1619,752,rxlr
1573,2551,rxlr
5616,9543,rxlr
6727,11715,rxlr
11395,353,rxlr
1945,26375,rxlr
10852,396,rxlr
23981,1443,rxlr
1198,597,rxlr
59980,12049,rxlr
36140,9618,rxlr
29957,10583,rxlr
38793,4880,rxlr
916,2368,rxlr
8291,5577,rxlr
2558,32065,rxlr
956,13906,rxlr
62626,35799,rxlr
13792,1956,rxlr
1284,792,rxlr
12873,1432,rxlr
2255,5072,rxlr
3503,19224,rxlr
3503,12147,rxlr
8611,468,rxlr
11227,8419,rxlr
39182,2245,rxlr
19299,2245,rxlr
9590,7564,rxlr
16123,2523,rxlr
9648,5773,rxlr
5082,731,rxlr
17352,5767,rxlr
28622,17352,rxlr
21566,25728,rxlr
33316,3044,rxlr
70694,27048,rxlr
17660,632,rxlr
7471,66043,rxlr
487,12443,rxlr
33281,8198,rxlr
23126,2399,rxlr
52679,1266,rxlr
23750,2894,rxlr
22522,1138,rxlr
21664,45976,rxlr
19920,164,rxlr
60329,21392,rxlr
11712,219,rxlr
2661,1922,rxlr
15271,19192,rxlr
33302,818,rxlr
67619,2514,rxlr
71532,2002,rxlr
2011,9200,rxlr
37157,50280,rxlr
23288,6381,rxlr
12931,7274,rxlr
10007,34924,rxlr
1085,1461,rxlr
9687,1461,rxlr
17104,12532,rxlr
12532,9890,rxlr
1265,642,rxlr
30561,1265,rxlr
4546,5585,rxlr
5180,2551,rxlr
2661,2675,rxlr
2660,2574,rxlr
2574,17773,rxlr
13883,1670,rxlr
31223,4828,rxlr
80,848,rxlr
848,6932,rxlr
18024,15914,rxlr
5796,279,rxlr
23992,6400,rxlr
43047,19459,rxlr
6381,14066,rxlr
1603,6045,rxlr
72258,16062,rxlr
4745,22832,rxlr
32018,12312,rxlr
26655,25061,rxlr
15347,3122,rxlr
2141,20956,rxlr
2141,4114,rxlr
2585,2898,rxlr
3529,10322,rxlr
39629,12,rxlr
4175,39629,rxlr
4175,12631,rxlr
28567,24496,rxlr
27091,35542,rxlr
25602,28373,rxlr
1558,1870,rxlr
19413,18738,rxlr
3518,28188,rxlr
38845,868,rxlr
1801,23980,rxlr
6573,1792,rxlr
32953,20007,rxlr
