Gene,Log_Tom2d
PITG_00002,0.453762025
PITG_00003,0.638668769
PITG_00004,0.153369242
PITG_00005,0.063571345
PITG_00006,-0.305983015
PITG_00009,1.017080825
PITG_00010,0.275219252
PITG_00011,-0.7591037
PITG_00012,-0.320576477
PITG_00013,1.528924212
PITG_00014,-0.840912085
PITG_00015,0.353573377
PITG_00016,-0.269069712
PITG_00019,-0.709279023
PITG_00020,-0.185444102
PITG_00021,-1.17209065
PITG_00022,0.401774662
PITG_00023,-0.841960159
PITG_00024,-0.041258813
PITG_00025,-0.275550965
PITG_00026,0.063439715
PITG_00027,1.311599412
PITG_00028,0.147674727
PITG_00029,-0.392410896
PITG_00030,-0.375419239
PITG_00031,0.268519238
PITG_00032,0.186787454
PITG_00033,0.265084289
PITG_00034,-0.688228654
PITG_00035,0.088922326
PITG_00036,0.277777243
PITG_00037,-0.248824654
PITG_00038,0.442372511
PITG_00039,0.311413041
PITG_00040,0.642784013
PITG_00041,0.227515173
PITG_00042,-0.181173827
PITG_00043,-0.888523489
PITG_00044,0.476887354
PITG_00045,-0.945837571
PITG_00046,-0.23015114
PITG_00047,-0.156271609
PITG_00048,-0.59488958
PITG_00049,-0.713899492
PITG_00050,-0.352955426
PITG_00051,0.106856694
PITG_00052,0.677547326
PITG_00053,-0.243028898
PITG_00054,0.289577243
PITG_00055,-0.006702407
PITG_00056,-0.461359597
PITG_00058,-0.403169472
PITG_00059,-0.32134465
PITG_00060,0.065219082
PITG_00061,0.347699313
PITG_00062,0.228053698
PITG_00063,-0.24876896
PITG_00064,-0.482748236
PITG_00065,0.090961611
PITG_00066,0.352185615
PITG_00067,-0.758789469
PITG_00068,0.270233208
PITG_00069,-0.545775961
PITG_00070,-0.350830557
PITG_00071,0.017461677
PITG_00072,0.748473904
PITG_00073,0.386331971
PITG_00074,-0.673381975
PITG_00075,-0.531989425
PITG_00076,0.171174864
PITG_00077,-0.261785754
PITG_00078,-1.045182474
PITG_00079,0.51195877
PITG_00080,-0.227958569
PITG_00081,-0.074904566
PITG_00082,-0.016434951
PITG_00083,-0.208685149
PITG_00084,1.125302768
PITG_00088,-0.620096382
PITG_00089,-1.165904293
PITG_00090,-0.790018778
PITG_00093,-0.02254153
PITG_00094,0.154379837
PITG_00095,-0.008173439
PITG_00096,-0.390760585
PITG_00097,-0.589630277
PITG_00098,-0.544317234
PITG_00099,-0.262749658
PITG_00100,-0.028149278
PITG_00101,-0.253436285
PITG_00102,-0.449996942
PITG_00103,-0.457360937
PITG_00104,-0.069882827
PITG_00106,0.15483284
PITG_00107,0.115017344
PITG_00108,0.004366746
PITG_00109,0.244827455
PITG_00110,-0.519461941
PITG_00111,0.141453753
PITG_00112,-0.234499126
PITG_00113,0.165727718
PITG_00114,0.028200205
PITG_00115,0.176218385
PITG_00116,-0.104485119
PITG_00117,-0.146319476
PITG_00118,-1.283229327
PITG_00119,-0.299247093
PITG_00121,-0.192231238
PITG_00122,0.519430239
PITG_00123,0.073834297
PITG_00124,0.001779608
PITG_00125,-0.420295741
PITG_00126,0.050005337
PITG_00127,-1.542806752
PITG_00128,-0.370909978
PITG_00129,-0.26902466
PITG_00130,0.335479207
PITG_00131,0.14013837
PITG_00132,0.389061608
PITG_00133,0.325946412
PITG_00134,-0.52738197
PITG_00135,0.245942016
PITG_00136,0.525751354
PITG_00137,0.315948198
PITG_00138,0.544576147
PITG_00139,0.076625785
PITG_00140,-0.546535103
PITG_00141,-0.145282168
PITG_00142,0.364530036
PITG_00143,0.247233076
PITG_00144,0.038562033
PITG_00145,-0.147179388
PITG_00146,-0.524578769
PITG_00147,0.570402067
PITG_00148,-0.556740699
PITG_00149,0.305251089
PITG_00150,-0.082695959
PITG_00151,-0.757940329
PITG_00152,-0.569431042
PITG_00153,-0.133091939
PITG_00154,-1.152251622
PITG_00155,-0.387822945
PITG_00156,-0.283967424
PITG_00157,-0.037146107
PITG_00158,0.174611564
PITG_00159,0.170479776
PITG_00160,-1.069579241
PITG_00162,1.267137171
PITG_00163,0.149115664
PITG_00164,-0.519068452
PITG_00165,0.242172667
PITG_00166,-0.558924098
PITG_00167,-0.866802164
PITG_00169,-0.177382021
PITG_00170,-0.898201765
PITG_00171,0.087076924
PITG_00172,-1.294986364
PITG_00173,0.41342287
PITG_00174,-0.14832218
PITG_00175,-0.0992193
PITG_00176,-0.303725849
PITG_00177,-0.73013924
PITG_00178,-0.825367731
PITG_00179,0.120391041
PITG_00180,-0.315595986
PITG_00181,0.138021715
PITG_00182,-0.333574738
PITG_00183,-0.896035539
PITG_00184,0.293603584
PITG_00185,0.061532075
PITG_00186,-0.032467067
PITG_00187,0.168546183
PITG_00188,-0.677788435
PITG_00189,-1.13212204
PITG_00190,-0.153317396
PITG_00191,-0.696460181
PITG_00192,0.25173251
PITG_00193,-0.132021473
PITG_00194,-0.647012241
PITG_00195,0.517821189
PITG_00196,-0.024449336
PITG_00197,-0.325864154
PITG_00198,-0.487837352
PITG_00200,-0.642977354
PITG_00201,-0.490690806
PITG_00202,-0.089446181
PITG_00203,-1.227667945
PITG_00204,-0.390290964
PITG_00205,-0.928990643
PITG_00206,-0.492982168
PITG_00207,-0.18640056
PITG_00208,-0.427729153
PITG_00209,-1.11274659
PITG_00210,-0.805872424
PITG_00211,-0.533488723
PITG_00212,-0.807439779
PITG_00213,-1.366525215
PITG_00214,0.171742444
PITG_00215,-0.294395545
PITG_00216,0.150535041
PITG_00217,0.507835999
PITG_00218,-0.469364094
PITG_00219,-1.704527211
PITG_00220,-0.611101726
PITG_00221,0.044903886
PITG_00222,-0.287574313
PITG_00223,0.107429014
PITG_00224,0.26311417
PITG_00225,-0.915643815
PITG_00226,-0.241439366
PITG_00227,0.074685136
PITG_00228,-0.299965159
PITG_00229,-0.929692733
PITG_00230,-0.021524833
PITG_00231,-0.461148403
PITG_00232,-0.417111628
PITG_00233,-0.850440428
PITG_00234,-0.833055188
PITG_00235,0.630549838
PITG_00236,0.003154633
PITG_00237,-0.049899524
PITG_00238,0.072414733
PITG_00240,-0.302804595
PITG_00241,0.080054636
PITG_00244,-0.080466544
PITG_00245,-1.018292833
PITG_00246,-0.650760409
PITG_00247,-0.357026675
PITG_00248,0.256512985
PITG_00249,-0.330562256
PITG_00250,0.245732211
PITG_00251,0.347110122
PITG_00252,-0.162392057
PITG_00253,0.275010074
PITG_00254,-0.473812873
PITG_00255,1.014325373
PITG_00256,0.578759433
PITG_00257,-0.223003695
PITG_00258,0.065762373
PITG_00259,-0.004494873
PITG_00260,0.578720513
PITG_00261,0.03368332
PITG_00262,-0.53084259
PITG_00263,-0.680013025
PITG_00264,-0.30575388
PITG_00265,0.211070486
PITG_00266,-0.419331529
PITG_00267,0.479802364
PITG_00268,-0.183465503
PITG_00269,-0.584643714
PITG_00270,-0.41511387
PITG_00271,-0.174645434
PITG_00272,-1.351405061
PITG_00273,0.521827855
PITG_00274,-0.455168665
PITG_00275,-0.846153568
PITG_00276,0.21093367
PITG_00279,-1.230873148
PITG_00280,-1.105120919
PITG_00281,-0.476324703
PITG_00282,-0.343603818
PITG_00283,-5.65E-05
PITG_00284,0.067193039
PITG_00286,0.384346214
PITG_00287,0.106734302
PITG_00288,0.649407629
PITG_00289,-0.456563064
PITG_00290,-0.054005544
PITG_00291,-0.817656318
PITG_00292,-0.427810898
PITG_00293,-0.195824648
PITG_00294,-0.239076459
PITG_00295,-0.33363887
PITG_00296,-0.257859055
PITG_00297,-0.164304005
PITG_00298,0.075869367
PITG_00299,-0.373601047
PITG_00300,-0.330925935
PITG_00301,0.448343935
PITG_00302,-0.076684079
PITG_00303,0.054833933
PITG_00304,0.368498848
PITG_00305,0.070566769
PITG_00306,0.108549172
PITG_00307,-0.041378718
PITG_00308,-0.129172408
PITG_00309,-0.169676884
PITG_00310,-0.248739244
PITG_00311,0.250491395
PITG_00312,0.090186452
PITG_00313,0.262381478
PITG_00314,-0.744487243
PITG_00315,-0.09017819
PITG_00319,0.261354053
PITG_00320,-0.05549498
PITG_00321,1.023948068
PITG_00322,0.087953739
PITG_00323,-0.417682409
PITG_00324,0.002078645
PITG_00327,0.36962707
PITG_00328,-0.277230249
PITG_00329,-1.638099859
PITG_00330,-0.246804056
PITG_00331,-0.110033849
PITG_00332,-0.08136423
PITG_00333,-0.707582999
PITG_00334,-1.137513522
PITG_00335,-0.110792447
PITG_00336,-1.045749624
PITG_00337,-0.600415091
PITG_00338,-0.305104163
PITG_00339,0.518963508
PITG_00340,-0.00236722
PITG_00341,0.095292531
PITG_00342,0.423912371
PITG_00343,-0.026160739
PITG_00347,0.379501818
PITG_00348,0.1599791
PITG_00349,0.32904038
PITG_00350,-0.526300082
PITG_00351,0.162133417
PITG_00352,-0.089122758
PITG_00353,0.064162505
PITG_00354,-0.228875372
PITG_00357,0.260550472
PITG_00358,0.284681474
PITG_00359,0.382506778
PITG_00360,0.095144119
PITG_00361,-0.481970585
PITG_00362,0.238830367
PITG_00363,0.546828226
PITG_00364,0.279343381
PITG_00366,-0.564905764
PITG_00368,-0.731667163
PITG_00369,-0.154527566
PITG_00370,-0.308491375
PITG_00372,0.144375285
PITG_00373,0.255835506
PITG_00375,1.141814983
PITG_00377,-0.120911263
PITG_00378,-0.485538458
PITG_00379,0.059053006
PITG_00380,-1.366645115
PITG_00381,-0.847599731
PITG_00382,-0.046248503
PITG_00383,0.412106154
PITG_00384,-0.636196704
PITG_00385,-0.772874282
PITG_00386,-0.213228924
PITG_00388,0.179955645
PITG_00389,-0.380588225
PITG_00390,-1.232807337
PITG_00391,-1.499891626
PITG_00392,0.179496904
PITG_00393,0.367062874
PITG_00394,0.452947357
PITG_00395,-2.075421437
PITG_00396,-0.533610548
PITG_00397,-0.479757942
PITG_00398,0.20010011
PITG_00399,0.394679739
PITG_00400,-0.415873416
PITG_00401,-0.459399824
PITG_00402,-0.096616594
PITG_00403,-0.098630345
PITG_00404,-0.265946342
PITG_00405,0.270509648
PITG_00406,-0.037876128
PITG_00407,0.356641977
PITG_00408,-0.887919936
PITG_00409,-0.101246713
PITG_00410,0.471265475
PITG_00411,-0.25839425
PITG_00412,0.311174585
PITG_00413,-0.592181234
PITG_00414,0.383967288
PITG_00415,0.269346387
PITG_00416,0.100842262
PITG_00417,0.061286722
PITG_00418,0.255625139
