"geneid","strand","fiveprime","threeprime"
"PITG_00013","+",779,1339
"PITG_00014","-",428,1339
"PITG_00111","+",90,1769
"PITG_00112","-",264,1769
"PITG_01123","+",1970,167
"PITG_01124","-",319,167
"PITG_14959","-",4215,6600
"PITG_14956","+",1166,6600
"PITG_14960","-",4231,4215
"PITG_14961","-",4225,4231
"PITG_14962","-",2230,4225
"PITG_14963","+",2230,6439
"PITG_14964","-",71,6439
"PITG_14965","-",1535,71
"PITG_14966","+",1535,57
"PITG_14967","-",416,57
"PITG_14969","-",555,239
"PITG_14968","+",416,239
"PITG_14970","-",630,555
"PITG_14971","-",498,630
"PITG_14972","-",1267,498
"PITG_14973","+",1267,6329
"PITG_14975","+",6329,1441
"PITG_14976","-",824,1441
"PITG_14978","-",438,263
"PITG_14977","+",824,263
"PITG_01125","+",319,3869
"PITG_14979","-",175,438
"PITG_14980","-",488,175
"PITG_14981","+",488,27372
"PITG_14983","+",27372,1759
"PITG_23032","-",1377,1759
"PITG_14984","-",21282,1377
"PITG_14986","-",23443,21282
"PITG_14987","+",23443,104
"PITG_14988","+",104,279
"PITG_14989","-",149,279
"PITG_01127","+",3869,514
"PITG_01128","-",591,514
"PITG_14991","-",659,132
"PITG_14990","+",149,132
"PITG_14992","+",659,291
"PITG_14993","+",291,456
"PITG_14994","+",456,15043
"PITG_23033","-",42799,62460
"PITG_14995","+",15043,62460
"PITG_22471","+",NA,129
"PITG_21617","-",NA,10494
"PITG_21507","+",NA,1447
"PITG_21508","-",NA,1447
"PITG_21456","+",NA,674
"PITG_21457","+",674,1513
"PITG_21405","-",NA,28
"PITG_14288","-",31854,2001
"PITG_14292","-",276,31854
"PITG_14293","-",976,276
"PITG_14294","-",5133,976
"PITG_14295","-",1172,5133
"PITG_01129","+",591,720
"PITG_14296","-",246,1172
"PITG_14297","+",246,305
"PITG_14299","-",5692,305
"PITG_14298","+",305,5692
"PITG_14300","-",7819,5692
"PITG_14302","-",5822,7819
"PITG_14303","+",5822,22980
"PITG_14304","-",17966,22980
"PITG_14309","-",3213,17966
"PITG_14310","+",3213,12453
"PITG_01130","+",720,38381
"PITG_14312","+",12453,31358
